Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-34250-80-6,172.16.0.1,34250,192.168.10.50,80,6,5/7/2017 10:47,103271602,10,8,2142,11595,355,0,214.2,181.7830208,5792,0,1449.375,2046.673464,133.0181747,0.174297674,6074800.118,24200000,99900000,46,103000000,11500000,33200000,99900000,46,103000000,14800000,37600000,99900000,48,0,0,0,0,304,264,0.096832041,0.077465633,0,5792,723.3157895,1432.622655,2052407.673,1,0,0,0,0,0,0,0,0,763.5,214.2,1449.375,0,0,0,0,0,0,10,2142,8,11595,0,235,7,20,9000,0,9000,9000,99900000,0,99900000,99900000,DoS Hulk
172.16.0.1-192.168.10.50-39782-80-6,172.16.0.1,39782,192.168.10.50,80,6,5/7/2017 10:56,85755665,8,6,358,11595,358,0,44.75,126.5721138,7240,0,1932.5,2695.639126,139.3843777,0.163254521,6596589.615,23700000,85600000,46,85600000,12200000,32400000,85600000,246,147429,29485.8,58761.43327,134130,64,0,0,0,0,264,200,0.093288298,0.069966223,0,7240,796.8666667,1877.363382,3524493.267,0,0,0,0,1,0,0,0,0,853.7857143,44.75,1932.5,0,0,0,0,0,0,8,358,6,11595,251,235,1,32,3494,0,3494,3494,85600000,0,85600000,85600000,DoS Hulk
192.168.10.3-192.168.10.19-53-42132-17,192.168.10.19,42132,192.168.10.3,53,17,4/7/2017 3:23,633404,2,2,72,268,36,36,36,0,134,134,134,0,536.7822117,6.315084843,211134.6667,365693.3718,633401,1,1,1,0,1,1,2,2,0,2,2,0,0,0,0,40,40,3.157542422,3.157542422,36,134,75.2,53.67681064,2881.2,0,0,0,0,0,0,0,0,1,94,36,134,0,0,0,0,0,0,2,72,2,268,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-38216-80-6,172.16.0.1,38216,192.168.10.50,80,6,5/7/2017 10:26,108584852,4,3,363,0,351,0,90.75,173.5921945,0,0,0,0,3.343007734,0.064465714,18100000,44300000,109000000,40,109000000,36200000,62700000,109000000,778,109000000,54300000,76800000,109000000,5445,0,0,0,0,136,104,0.036837551,0.027628163,0,351,45.375,123.5625203,15267.69643,0,0,0,1,0,0,0,0,0,51.85714286,90.75,0,0,0,0,0,0,0,4,363,3,0,29200,235,2,32,5495,0,5495,5495,109000000,0,109000000,109000000,DoS Slowhttptest
172.16.0.1-192.168.10.50-60313-80-6,172.16.0.1,60313,192.168.10.50,80,6,7/7/2017 4:11,98200159,9,6,62,11601,20,0,6.888888889,5.30199124,4380,0,1933.5,1757.789948,118.7676285,0.152749244,7014297.071,24400000,91700000,3,97600000,12200000,32200000,91700000,3,605720,121144,258716.4793,583644,18,0,0,0,0,192,132,0.091649546,0.061099697,0,4380,729.3125,1399.285566,1958000.096,0,0,0,0,1,0,0,0,0,777.9333333,6.888888889,1933.5,0,0,0,0,0,0,9,62,6,11601,256,229,7,20,2016,0,2016,2016,48800000,60600000,91700000,5933832,DDoS
172.16.0.1-192.168.10.50-60922-80-6,172.16.0.1,60922,192.168.10.50,80,6,5/7/2017 10:08,3002545,3,0,0,0,0,0,0,0,0,0,0,0,0,0.999152386,1501272.5,710945.6639,2003987,998558,3002545,1501272.5,710945.6639,2003987,998558,0,0,0,0,0,0,0,0,0,120,0,0.999152386,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0,0,0,0,0,0,0,0,DoS slowloris
172.16.0.1-192.168.10.50-54262-21-6,172.16.0.1,54262,192.168.10.50,21,6,4/7/2017 9:35,8659024,9,15,112,188,24,0,12.44444444,10.18713786,34,0,12.53333333,14.54975045,34.645937,2.77167496,376479.3043,982518.7834,3176062,3,5696013,712001.625,1331597.469,3218787,3,8658904,618493.1429,1213456.099,3176062,3,0,0,0,0,296,488,1.03937811,1.73229685,0,34,12,12.81925635,164.3333333,0,0,0,1,0,0,0,0,1,12.5,12.44444444,12.53333333,0,0,0,0,0,0,9,112,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
192.168.10.14-205.174.165.73-51793-8080-6,192.168.10.14,51793,205.174.165.73,8080,6,7/7/2017 10:51,82027,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4157.167762,85.33775464,13671.16667,32478.91356,79966,33,82027,27342.33333,46741.9539,81314,33,80761,40380.5,55982.35097,79966,795,0,0,0,0,92,72,48.76443122,36.57332342,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
172.16.0.1-192.168.10.50-44318-80-6,172.16.0.1,44318,192.168.10.50,80,6,5/7/2017 10:44,55519,3,6,349,11595,349,0,116.3333333,201.4952439,2907,0,1932.5,1496.914126,215133.5579,162.1066662,6939.875,15446.98703,44218,33,10990,5495,6382.345807,10008,982,55477,11095.4,19107.03602,44218,37,0,0,0,0,104,200,54.0355554,108.0711108,0,2907,1194.4,1470.713523,2162998.267,0,0,0,1,0,0,0,0,2,1327.111111,116.3333333,1932.5,0,0,0,0,0,0,3,349,6,11595,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Hulk
172.16.0.1-192.168.10.50-53446-5033-6,172.16.0.1,53446,192.168.10.50,5033,6,7/7/2017 2:52,16,1,1,2,6,2,2,2,0,6,6,6,0,500000,125000,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,62500,62500,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
